id	image	image_src	image_legende	nom_fr	nom_latin	region	systeme	fonction	rapports	notes_cliniques	sources	importance
os_palatin	os_palatin.jpg|os_palatin-3d.jpg	libre		Os palatin	Os palatinum	Viscérocrâne	Ostéologie	Os pair en L situé en arrière du maxillaire. Complète le palais osseux, la paroi latérale de la cavité nasale et le plancher de l'orbite.	Lame horizontale (tiers postérieur du palais dur) et lame perpendiculaire (paroi nasale latérale, participe à la fosse ptérygo-palatine). Le foramen grand palatin livre passage au nerf grand palatin.	Repère pour l'anesthésie du nerf grand palatin. Participe aux fentes palatines postérieures.	https://fr.wikipedia.org/wiki/Os_palatin	3
vomer	vomer.jpg|vomer-3d.jpg	libre		Vomer	Vomer	Viscérocrâne	Ostéologie	Os impair et médian en forme de soc de charrue formant la partie postéro-inférieure du septum nasal osseux.	S'articule en haut avec la lame perpendiculaire de l'ethmoïde et le rostre du sphénoïde, en bas avec les crêtes nasales du maxillaire et du palatin, en avant avec le cartilage septal.	Déviation de la cloison nasale (souvent à la jonction vomer-cartilage). Repère de la ligne médiane en chirurgie endonasale.	https://fr.wikipedia.org/wiki/Vomer	3
cornet_nasal_inferieur	cornet_nasal_inferieur.jpg|cornet_nasal_inferieur-3d.jpg	libre		Cornet nasal inférieur	Concha nasalis inferior	Viscérocrâne	Ostéologie	Os pair, enroulé, appendu à la paroi latérale de la cavité nasale. Délimite en dessous le méat nasal inférieur.	Le méat inférieur reçoit l'ouverture du conduit lacrymo-nasal. Le cornet inférieur est un os propre, contrairement aux cornets supérieur et moyen qui appartiennent à l'ethmoïde.	Hypertrophie des cornets inférieurs : obstruction nasale chronique, traitée médicalement puis par turbinoplastie. Sondage du conduit lacrymo-nasal chez le nourrisson.	https://fr.wikipedia.org/wiki/Cornet_nasal_inférieur	2
crane_vue_anterieure	crane_vue_anterieure.jpg	libre		Crâne : vue antérieure	Norma frontalis	Neurocrâne	Ostéologie	Vue de face du crâne montrant l'organisation du massif facial autour des cavités orbitaires et de l'ouverture piriforme.	Met en évidence l'orbite (formée de sept os), l'ouverture piriforme, la suture métopique éventuelle, le foramen supra-orbitaire, le foramen infra-orbitaire et le foramen mentonnier alignés sur une verticale.	Traumatologie faciale (fractures de Le Fort, du plancher de l'orbite). Les trois foramens alignés transmettent des branches du nerf trijumeau (V1, V2, V3).	https://fr.wikipedia.org/wiki/Crâne	4
crane_vue_laterale	crane_vue_laterale.jpg	libre		Crâne : vue latérale	Norma lateralis	Neurocrâne	Ostéologie	Vue de profil montrant la voûte, la fosse temporale et l'arcade zygomatique, ainsi que les rapports des os de la base.	Le ptérion (jonction en H de quatre os) répond à la branche antérieure de l'artère méningée moyenne. L'astérion marque la jonction pariéto-temporo-occipitale. Le processus mastoïde et le méat acoustique externe sont des repères de surface.	Voie d'abord ptérionale en neurochirurgie. Repérage du sinus transverse par l'astérion. Fracture temporale et hématome extradural au ptérion.	https://fr.wikipedia.org/wiki/Crâne	4
base_crane_inferieure	base_crane_inferieure.jpg	libre		Base du crâne : vue inférieure	Norma basalis	Base du crâne	Ostéologie	Face exocrânienne de la base, du palais osseux en avant au foramen magnum et à l'écaille occipitale en arrière.	Montre les choanes, les processus ptérygoïdes, la fosse mandibulaire, le processus styloïde, le foramen stylo-mastoïdien, le canal carotidien, le foramen jugulaire, les condyles occipitaux et le foramen magnum.	Repérage des foramens en imagerie de la base. Extension des tumeurs du cavum vers la base. Le foramen stylo-mastoïdien transmet le nerf facial extra-crânien.	https://fr.wikipedia.org/wiki/Base_du_crâne	5
base_crane_endocranienne	base_crane_endocranienne.jpg	libre		Base du crâne : vue endocrânienne	Basis cranii interna	Base du crâne	Ostéologie	Face endocrânienne de la base, organisée en trois étages : fosses crâniennes antérieure, moyenne et postérieure.	Fosse antérieure (lobes frontaux, lame criblée), fosse moyenne (lobes temporaux, selle turcique, fissure orbitaire supérieure, foramens rond, ovale, épineux, déchiré), fosse postérieure (tronc cérébral et cervelet, méat acoustique interne, foramen jugulaire, foramen magnum).	Les fractures de la base suivent les lignes de faiblesse entre les étages. Brèche ostéo-méningée, otoliquorrhée, rhinoliquorrhée. Classification des méningiomes de la base selon l'étage.	https://fr.wikipedia.org/wiki/Base_du_crâne	5
calvaria	calvaria.jpg	libre		Calvaria et sutures	Calvaria	Neurocrâne	Ostéologie	Toit du crâne (partie supérieure de la voûte), constitué de l'écaille frontale, des deux pariétaux et de l'écaille occipitale unis par des sutures.	Sutures coronale (frontal-pariétaux), sagittale (entre pariétaux), lambdoïde (pariétaux-occipital). Points crâniométriques : bregma (coronale-sagittale), lambda (sagittale-lambdoïde). Diploé spongieux entre les deux tables osseuses.	Craniosténoses par fermeture prématurée d'une suture (scaphocéphalie si suture sagittale). Os wormiens dans la suture lambdoïde. Volet crânien en neurochirurgie.	https://fr.wikipedia.org/wiki/Calvaria_(anatomie)	2
fontanelle	fontanelle.jpg	libre		Fontanelles	Fonticuli cranii	Neurocrâne	Ostéologie	Espaces membraneux non ossifiés entre les os du crâne du nouveau-né, permettant le modelage céphalique lors de l'accouchement et la croissance rapide du cerveau.	Fontanelle antérieure (bregmatique, losangique, la plus grande, se ferme vers 18-24 mois), fontanelle postérieure (lambdatique, triangulaire, se ferme vers 2-3 mois), fontanelles sphénoïdales et mastoïdiennes latérales.	La fontanelle antérieure renseigne sur l'hydratation (déprimée) et la pression intracrânienne (bombée). Fermeture précoce (craniosténose) ou retardée (hypothyroïdie, rachitisme, trisomie 21).	https://fr.wikipedia.org/wiki/Fontanelle	3
processus_pterygoide	processus_pterygoide.jpg	libre		Processus ptérygoïde	Processus pterygoideus	Base du crâne	Ostéologie	Prolongement vertical descendant de la jonction corps-grande aile du sphénoïde. Formé de deux lames (médiale et latérale) délimitant la fosse ptérygoïdienne.	La lame médiale se termine par le hamulus ptérygoïdien (poulie du muscle tenseur du voile). La lame latérale donne insertion aux muscles ptérygoïdiens. À sa racine s'ouvre le canal ptérygoïdien (nerf du canal ptérygoïdien).	Repère de la fosse infra-temporale et de la fosse ptérygo-palatine. Blocs anesthésiques régionaux. Extension des tumeurs du cavum.	https://fr.wikipedia.org/wiki/Processus_ptérygoïde	2
foramen_magnum	foramen_magnum.svg	libre		Foramen magnum	Foramen magnum	Base du crâne	Ostéologie, Foramens	Vaste orifice de l'os occipital reliant la cavité crânienne au canal vertébral.	Livre passage à la jonction bulbo-médullaire et aux méninges, aux deux artères vertébrales, aux racines spinales du nerf accessoire (XI), aux artères spinales antérieure et postérieures, aux plexus veineux et à la membrane tectoria.	Engagement des amygdales cérébelleuses (malformation de Chiari, hypertension intracrânienne) : compression bulbaire potentiellement mortelle. Impression basilaire.	https://fr.wikipedia.org/wiki/Foramen_magnum	5
canal_optique	canal_optique.svg	libre		Canal optique	Canalis opticus	Base du crâne	Ostéologie, Foramens	Canal creusé dans la petite aile du sphénoïde, faisant communiquer la fosse crânienne moyenne et l'apex de l'orbite.	Livre passage au nerf optique (II) entouré de ses méninges et à l'artère ophtalmique. Séparé de la fissure orbitaire supérieure par le pilier optique.	Neuropathie optique traumatique par fracture du canal. Compression par un méningiome de la gaine du nerf optique ou un adénome hypophysaire volumineux.	https://fr.wikipedia.org/wiki/Canal_optique	4
fissure_orbitaire_superieure	fissure_orbitaire_superieure.svg	libre		Fissure orbitaire supérieure	Fissura orbitalis superior	Base du crâne	Ostéologie, Foramens	Fente entre petite et grande aile du sphénoïde, reliant la fosse crânienne moyenne à l'orbite.	Livre passage aux nerfs oculomoteur (III), trochléaire (IV), ophtalmique (V1 : nerfs lacrymal, frontal, naso-ciliaire) et abducens (VI), ainsi qu'à la veine ophtalmique supérieure. L'anneau tendineux commun (de Zinn) entoure les nerfs III, VI et naso-ciliaire.	Syndrome de la fissure orbitaire supérieure : ophtalmoplégie complète, ptosis, mydriase, anesthésie cornéenne. Souvent traumatique ou tumoral (méningiome du sinus caverneux).	https://fr.wikipedia.org/wiki/Fissure_orbitaire_supérieure	4
foramen_rond	foramen_rond.svg	libre		Foramen rond	Foramen rotundum	Base du crâne	Ostéologie, Foramens	Orifice de la grande aile du sphénoïde faisant communiquer la fosse crânienne moyenne et la fosse ptérygo-palatine.	Livre passage au nerf maxillaire (V2), qui se poursuit dans la fosse ptérygo-palatine puis gagne l'orbite par la fissure orbitaire inférieure et la face par le foramen infra-orbitaire.	Névralgie du V2. Bloc du nerf maxillaire par voie ptérygo-palatine. Repère TDM constant de la base.	https://fr.wikipedia.org/wiki/Foramen_rond	4
foramen_ovale	foramen_ovale.svg	libre		Foramen ovale	Foramen ovale (cranii)	Base du crâne	Ostéologie, Foramens	Orifice de la grande aile du sphénoïde faisant communiquer la fosse crânienne moyenne et la fosse infra-temporale.	Livre passage au nerf mandibulaire (V3), à l'artère petite méningée, au nerf petit pétreux et parfois à une veine émissaire reliant le sinus caverneux au plexus ptérygoïdien.	Voie d'abord pour la thermocoagulation du ganglion trigéminal dans la névralgie du trijumeau. Diffusion péri-neurale des carcinomes cutanés le long du V3.	https://fr.wikipedia.org/wiki/Foramen_ovale_(crâne)	5
foramen_epineux	foramen_epineux.svg	libre		Foramen épineux	Foramen spinosum	Base du crâne	Ostéologie, Foramens	Petit orifice de la grande aile du sphénoïde, en arrière et en dehors du foramen ovale.	Livre passage à l'artère méningée moyenne (branche de l'artère maxillaire), à sa veine et au rameau méningé (nerf spinosum) du nerf mandibulaire.	Section ou embolisation de l'artère méningée moyenne dans certains hématomes sous-duraux chroniques et dans l'hémostase des méningiomes.	https://fr.wikipedia.org/wiki/Foramen_épineux	3
foramen_dechire	foramen_dechire.jpg	libre		Foramen déchiré	Foramen lacerum	Base du crâne	Ostéologie, Foramens	Orifice de la base entre l'apex du rocher, le corps du sphénoïde et l'os occipital. Fermé par du fibrocartilage chez le vivant.	Aucune structure importante ne le traverse verticalement. L'artère carotide interne chemine au-dessus de lui, dans la partie supérieure du canal carotidien. Le nerf du canal ptérygoïdien et de petites veines le franchissent.	Piège classique d'examen : rien ne le traverse réellement de part en part. Voie d'extension des tumeurs du cavum vers le sinus caverneux.	https://fr.wikipedia.org/wiki/Foramen_déchiré	3
foramen_jugulaire	foramen_jugulaire.svg	libre		Foramen jugulaire	Foramen jugulare	Base du crâne	Ostéologie, Foramens	Orifice entre l'os temporal (rocher) et l'os occipital, dans la fosse crânienne postérieure.	Partie antéro-médiale : nerfs glosso-pharyngien (IX), vague (X) et accessoire (XI), sinus pétreux inférieur. Partie postéro-latérale : golfe de la veine jugulaire interne (issue du sinus sigmoïde).	Syndrome du foramen jugulaire (de Vernet) : atteinte IX, X, XI (troubles de déglutition, voix bitonale, paralysie du trapèze et du sterno-cléido-mastoïdien). Paragangliome tympano-jugulaire (glomus jugulaire).	https://fr.wikipedia.org/wiki/Foramen_jugulaire	5
canal_carotidien	canal_carotidien.jpg	libre		Canal carotidien	Canalis caroticus	Base du crâne	Ostéologie, Foramens	Canal creusé dans la partie pétreuse de l'os temporal, en avant du foramen jugulaire. Trajet d'abord vertical puis horizontal antéro-médial.	Livre passage à l'artère carotide interne (segment pétreux) et au plexus nerveux carotidien sympathique péri-artériel. Débouche à l'apex du rocher au-dessus du foramen déchiré.	Dissection ou anévrisme de la carotide interne pétreuse. Repère du trajet carotidien en chirurgie de la base et en abord de l'oreille moyenne.	https://fr.wikipedia.org/wiki/Canal_carotidien	3
canal_hypoglosse	canal_hypoglosse.jpg	libre		Canal du nerf hypoglosse	Canalis nervi hypoglossi	Base du crâne	Ostéologie, Foramens	Canal traversant la partie latérale de l'os occipital, au-dessus du condyle occipital.	Livre passage au nerf hypoglosse (XII) et à un rameau méningé, parfois à une veine émissaire du plexus veineux du canal.	Paralysie du XII (déviation de la langue vers le côté atteint à la protraction) par fracture du condyle occipital, tumeur de la base ou dissection carotidienne haute.	https://fr.wikipedia.org/wiki/Canal_du_nerf_hypoglosse	2
meat_acoustique_interne	meat_acoustique_interne.jpg	libre		Méat acoustique interne	Meatus acusticus internus	Base du crâne	Ostéologie, Foramens	Canal court de la face postéro-supérieure du rocher, ouvert dans la fosse crânienne postérieure. Fermé latéralement par le fond du méat.	Livre passage au nerf facial (VII), au nerf intermédiaire, au nerf vestibulo-cochléaire (VIII) et à l'artère labyrinthique. Le fond est divisé par la crête transverse et la barre de Bill.	Schwannome vestibulaire (neurinome de l'acoustique) : acouphènes, surdité de perception unilatérale, atteinte de l'équilibre, puis du VII et du V dans l'angle ponto-cérébelleux.	https://fr.wikipedia.org/wiki/Méat_acoustique_interne	4
lame_criblee	lame_criblee.jpg	libre		Lame criblée de l'ethmoïde	Lamina cribrosa	Base du crâne	Ostéologie, Foramens	Lame osseuse horizontale de l'ethmoïde fermant en haut les cavités nasales et formant le plancher de la fosse crânienne antérieure médiane.	Percée d'une vingtaine d'orifices livrant passage aux filets du nerf olfactif (I). Porte la crista galli où s'insère la faux du cerveau. Bordée latéralement par la lame orbitaire (lamina papyracea).	Fracture avec rhinorrhée cérébro-spinale et anosmie post-traumatique. Voie d'entrée d'une méningite. Effraction possible lors d'une chirurgie endonasale (repère de sécurité).	https://fr.wikipedia.org/wiki/Lame_criblée	2
atlas	atlas.jpg|atlas-3d.jpg	libre		Atlas (C1)	Atlas	Rachis cervical	Ostéologie	Première vertèbre cervicale. Dépourvue de corps et de processus épineux. Supporte le crâne et permet le mouvement de flexion-extension de la tête (signe du oui).	Anneau formé de deux arcs (antérieur, postérieur) et de deux masses latérales. Les surfaces articulaires supérieures reçoivent les condyles occipitaux (articulation atlanto-occipitale), les inférieures répondent à l'axis. La fossette de l'arc antérieur s'articule avec la dent de l'axis.	Fracture de Jefferson : éclatement de l'anneau par compression axiale, souvent bifocale, avec risque de lésion de l'artère vertébrale. La rupture du ligament transverse rend l'articulation atlanto-axoïdienne instable.	https://fr.wikipedia.org/wiki/Atlas_(anatomie)	5
axis	axis.jpg|axis-3d.jpg	libre		Axis (C2)	Axis	Rachis cervical	Ostéologie	Deuxième vertèbre cervicale. Caractérisée par la dent (processus odontoïde), pivot vertical autour duquel tourne l'atlas (mouvement du non).	La dent s'articule en avant avec l'arc antérieur de l'atlas, en arrière avec le ligament transverse. Les surfaces articulaires supérieures, larges, supportent l'atlas. Le corps est traversé par le trajet ascendant des artères vertébrales dans les foramens transversaires.	Fracture de la dent (odontoïde), classée en trois types (Anderson-D'Alonzo) : le type II (base de la dent) est instable et pseudarthrose fréquente. Fracture des pédicules (hangman's fracture) par hyperextension.	https://fr.wikipedia.org/wiki/Axis_(anatomie)	5
vertebre_cervicale	vertebre_cervicale.jpg|vertebre_cervicale-3d.jpg	libre		Vertèbre cervicale type (C3-C6)	Vertebrae cervicales	Rachis cervical	Ostéologie	Vertèbre mobile du rachis cervical moyen. Petit corps, grand foramen vertébral triangulaire, processus épineux souvent bifide.	Chaque processus transverse est percé d'un foramen transversaire livrant passage à l'artère vertébrale (de C6 à C1) et à des veines. Le tubercule antérieur de C6 est le tubercule carotidien (de Chassaignac). Les processus articulaires sont obliques à 45 degrés.	Uncus (processus unciné) délimitant les articulations uncovertébrales. Cervicarthrose uncovertébrale : compression radiculaire dans le foramen intervertébral. Le tubercule carotidien sert de point de compression de la carotide commune.	https://fr.wikipedia.org/wiki/Vertèbres_cervicales	3
articulation_uncovertebrale	articulation_uncovertebrale.png	libre		Articulation uncovertébrale	Articulatio uncovertebralis	Rachis cervical	Arthrologie	Petite articulation (dite de Luschka) entre l'uncus (processus unciné) du bord latéral du plateau vertébral supérieur d'une vertèbre cervicale (C3 à C7) et le bord inféro-latéral de la vertèbre sus-jacente.	Située en dehors du disque intervertébral, en avant du foramen intervertébral et en dedans de l'artère vertébrale. Apparaît après 10 ans par fissuration du disque.	L'arthrose uncovertébrale produit des ostéophytes postéro-latéraux comprimant la racine nerveuse (névralgie cervico-brachiale) ou l'artère vertébrale (insuffisance vertébro-basilaire positionnelle).	https://fr.wikipedia.org/wiki/Articulation_uncovertébrale	2
articulation_temporo_mandibulaire	articulation_temporo_mandibulaire.svg	libre		Articulation temporo-mandibulaire	Articulatio temporomandibularis	Fosse infra-temporale	Arthrologie	Articulation bilatérale et synoviale entre la fosse mandibulaire de l'os temporal et le processus condylaire de la mandibule. Assure l'ouverture buccale, la mastication et la phonation.	Un disque articulaire fibro-cartilagineux divise la cavité en deux étages : mouvement de rotation (charnière) en bas, de translation (glissement condyle-disque vers le tubercule articulaire) en haut. Renforcée par le ligament latéral (temporo-mandibulaire).	Luxation antérieure (bouche bloquée ouverte, réduction par manœuvre de Nélaton). Dysfonction de l'appareil manducateur (douleurs, craquements, limitation). Le ménisque peut se luxer en avant.	https://fr.wikipedia.org/wiki/Articulation_temporo-mandibulaire	5
ligament_nuchal	ligament_nuchal.jpg	libre		Ligament nuchal	Ligamentum nuchae	Charnière cranio-vertébrale	Arthrologie	Lame fibro-élastique médiane et sagittale de la nuque, prolongeant vers le haut le ligament supra-épineux. S'étend de la protubérance occipitale externe au processus épineux de C7.	Donne insertion aux muscles trapèze, splénius de la tête, rhomboïdes et serratus postérieur supérieur. Sépare les masses musculaires para-vertébrales droite et gauche. Sa lame profonde s'attache au tubercule postérieur de l'atlas et aux épineuses cervicales.	Cervicalgies d'insertion. Repère de la ligne médiane pour les voies d'abord postérieures du rachis cervical (dissection dans un plan avasculaire).	https://fr.wikipedia.org/wiki/Ligament_nuchal	3
membrane_atlanto_occipitale_anterieure	membrane_atlanto_occipitale_anterieure.jpg	libre		Membrane atlanto-occipitale antérieure	Membrana atlantooccipitalis anterior	Charnière cranio-vertébrale	Arthrologie	Membrane large et dense tendue entre le bord antérieur du foramen magnum et le bord supérieur de l'arc antérieur de l'atlas.	Prolonge vers le haut le ligament longitudinal antérieur. Renforcée sur la ligne médiane par le ligament atlanto-occipital antérieur. Ferme en avant l'articulation atlanto-occipitale.	Limite l'extension de la tête. Peut être lésée dans les traumatismes en hyperextension de la charnière.	https://fr.wikipedia.org/wiki/Membrane_atlanto-occipitale_antérieure	3
membrane_atlanto_occipitale_posterieure	membrane_atlanto_occipitale_posterieure.jpg	libre		Membrane atlanto-occipitale postérieure	Membrana atlantooccipitalis posterior	Charnière cranio-vertébrale	Arthrologie	Membrane large et mince tendue entre le bord postérieur du foramen magnum et le bord supérieur de l'arc postérieur de l'atlas.	Analogue aux ligaments jaunes des étages sous-jacents. Un orifice à son bord inférieur (parfois transformé en canal) livre passage à l'artère vertébrale et au nerf sub-occipital (rameau dorsal de C1).	Repère chirurgical de l'artère vertébrale dans l'abord de la charnière (triangle sub-occipital). Ossification (ponticulus posticus) transformant l'orifice en foramen arcuatum.	https://fr.wikipedia.org/wiki/Membrane_atlanto-occipitale_postérieure	3
ligament_transverse_atlas	ligament_transverse_atlas.jpg	libre		Ligament transverse de l'atlas	Ligamentum transversum atlantis	Charnière cranio-vertébrale	Arthrologie	Ligament épais et résistant tendu horizontalement entre les deux masses latérales de l'atlas, en arrière de la dent de l'axis. Maintient la dent plaquée contre l'arc antérieur de l'atlas.	Partie principale du ligament cruciforme (avec les faisceaux longitudinaux supérieur et inférieur). Assure la stabilité de l'articulation atlanto-axoïdienne médiane et protège la moelle épinière située en arrière.	Sa rupture (traumatisme, polyarthrite rhumatoïde, syndrome de Down) entraîne une luxation atlanto-axoïdienne antérieure : intervalle atlas-dent supérieur à 3 mm chez l'adulte, risque de compression médullaire haute.	https://fr.wikipedia.org/wiki/Ligament_transverse_de_l'atlas	4
ligament_alaire	ligament_alaire.jpg	libre		Ligaments alaires	Ligamenta alaria	Charnière cranio-vertébrale	Arthrologie	Deux cordons fibreux résistants tendus des faces latérales de la dent de l'axis aux tubercules situés sur la face médiale des condyles occipitaux.	Limitent la rotation axiale et l'inclinaison latérale de la tête (le ligament controlatéral se tend). Complètent le rôle stabilisateur du ligament transverse à la jonction cranio-vertébrale.	Entorse ou rupture des ligaments alaires évoquée dans certains traumatismes en rotation forcée (whiplash), exploration par IRM en rotation. Instabilité rotatoire de la charnière.	https://fr.wikipedia.org/wiki/Ligament_alaire	3
membrane_tectoria	membrane_tectoria.jpg	libre		Membrane tectoria	Membrana tectoria	Charnière cranio-vertébrale	Arthrologie	Large bande fibreuse tendue de la face postérieure du corps de l'axis à la partie basilaire de l'os occipital (endocrâne), recouvrant en arrière la dent et le ligament cruciforme.	Prolonge vers le haut le ligament longitudinal postérieur. Sépare le ligament cruciforme de la dure-mère spinale. Dernier plan ligamentaire avant les méninges et la moelle.	Rôle majeur dans la stabilité sagittale de la charnière. Sa rupture, souvent associée à une dissociation atlanto-occipitale, est une lésion très grave (souvent létale) du polytraumatisé.	https://fr.wikipedia.org/wiki/Membrane_tectoria	2
muscles_mimique	muscles_mimique.jpg	libre	Muscles de la face et du cou (Gray, 1918)	Muscles de la mimique (vue d'ensemble)	Musculi faciei	Face	Myologie	Ensemble de muscles peauciers qui s'insèrent sur l'os ou sur un fascia et se terminent dans le derme. Leur contraction mobilise la peau du visage et du cuir chevelu : ils ferment ou ouvrent les orifices (yeux, bouche, narines) et produisent l'expression des émotions. Tous dérivent du deuxième arc pharyngien et sont innervés par le nerf facial (VII).	Disposés en couches autour des orifices de la face, dans le tissu sous-cutané, en avant des muscles masticateurs. Ils sont traversés par les rameaux terminaux du nerf facial (issus de la glande parotide) et par les vaisseaux faciaux. Le système musculo-aponévrotique superficiel (SMAS) les solidarise entre eux.	Une paralysie faciale périphérique (atteinte du VII) efface les rides d'un hémiface, entraîne un signe de Charles Bell et une stagnation des aliments dans le vestibule. Cible principale de la toxine botulique et de la chirurgie du vieillissement facial (lifting du SMAS).	https://fr.wikipedia.org/wiki/Muscles_peauciers_du_visage ; Kamina, Anatomie clinique, tome 2	3
